--- Merge Sort Benchmark Log ---
  > Thread 80: Avg Time = 0.0167s
  > Thread 81: Avg Time = 0.0169s
  > Thread 82: Avg Time = 0.0168s
  > Thread 83: Avg Time = 0.0168s
  > Thread 84: Avg Time = 0.0168s
  > Thread 85: Avg Time = 0.0167s
  > Thread 86: Avg Time = 0.0168s
  > Thread 87: Avg Time = 0.0168s
  > Thread 88: Avg Time = 0.0169s
  > Thread 89: Avg Time = 0.0168s
  > Thread 90: Avg Time = 0.0167s
  > Thread 91: Avg Time = 0.0168s
  > Thread 92: Avg Time = 0.0168s
  > Thread 93: Avg Time = 0.0168s
  > Thread 94: Avg Time = 0.0168s
  > Thread 95: Avg Time = 0.0169s
  > Thread 96: Avg Time = 0.0169s
  > Thread 97: Avg Time = 0.0172s
  > Thread 98: Avg Time = 0.0171s
  > Thread 99: Avg Time = 0.0171s

[ Target N = 700000 ]
  > Thread  2: Avg Time = 0.0235s
  > Thread  3: Avg Time = 0.0195s
  > Thread  4: Avg Time = 0.0175s
  > Thread  5: Avg Time = 0.0180s
  > Thread  6: Avg Time = 0.0171s
  > Thread  7: Avg Time = 0.0164s
  > Thread  8: Avg Time = 0.0160s
  > Thread  9: Avg Time = 0.0166s
  > Thread 10: Avg Time = 0.0165s
  > Thread 11: Avg Time = 0.0171s
  > Thread 12: Avg Time = 0.0170s
  > Thread 13: Avg Time = 0.0169s
  > Thread 14: Avg Time = 0.0168s
  > Thread 15: Avg Time = 0.0171s
  > Thread 16: Avg Time = 0.0171s
  > Thread 17: Avg Time = 0.0179s
  > Thread 18: Avg Time = 0.0176s
  > Thread 19: Avg Time = 0.0176s
  > Thread 20: Avg Time = 0.0173s
  > Thread 21: Avg Time = 0.0177s
  > Thread 22: Avg Time = 0.0174s
  > Thread 23: Avg Time = 0.0174s
  > Thread 24: Avg Time = 0.0175s
  > Thread 25: Avg Time = 0.0180s
  > Thread 26: Avg Time = 0.0179s
  > Thread 27: Avg Time = 0.0179s
  > Thread 28: Avg Time = 0.0178s
  > Thread 29: Avg Time = 0.0178s
  > Thread 30: Avg Time = 0.0177s
  > Thread 31: Avg Time = 0.0177s
  > Thread 32: Avg Time = 0.0178s
  > Thread 33: Avg Time = 0.0188s
  > Thread 34: Avg Time = 0.0188s
  > Thread 35: Avg Time = 0.0187s
  > Thread 36: Avg Time = 0.0187s
  > Thread 37: Avg Time = 0.0185s
  > Thread 38: Avg Time = 0.0185s
  > Thread 39: Avg Time = 0.0185s
  > Thread 40: Avg Time = 0.0184s
  > Thread 41: Avg Time = 0.0185s
  > Thread 42: Avg Time = 0.0185s
  > Thread 43: Avg Time = 0.0184s
  > Thread 44: Avg Time = 0.0185s
  > Thread 45: Avg Time = 0.0183s
  > Thread 46: Avg Time = 0.0185s
  > Thread 47: Avg Time = 0.0185s
  > Thread 48: Avg Time = 0.0186s
  > Thread 49: Avg Time = 0.0187s
  > Thread 50: Avg Time = 0.0188s
  > Thread 51: Avg Time = 0.0186s
  > Thread 52: Avg Time = 0.0186s
  > Thread 53: Avg Time = 0.0187s
  > Thread 54: Avg Time = 0.0187s
  > Thread 55: Avg Time = 0.0186s
  > Thread 56: Avg Time = 0.0185s
  > Thread 57: Avg Time = 0.0187s
  > Thread 58: Avg Time = 0.0188s
  > Thread 59: Avg Time = 0.0188s
  > Thread 60: Avg Time = 0.0188s
  > Thread 61: Avg Time = 0.0188s
  > Thread 62: Avg Time = 0.0189s
  > Thread 63: Avg Time = 0.0187s
  > Thread 64: Avg Time = 0.0193s
  > Thread 65: Avg Time = 0.0202s
  > Thread 66: Avg Time = 0.0199s
  > Thread 67: Avg Time = 0.0199s
